iter	RMSE
212	1.001331362
213	1.001082536
214	1.000719919
215	1.000655009
216	1.000063496
217	0.9994580278
218	0.9992398545
219	0.9992100305
220	0.9987462128
221	0.9986993141
222	0.9979113495
223	0.9974004143
224	0.997383491
225	0.9966386068
226	0.9959649485
227	0.9954626631
228	0.994861896
229	0.9944197971
230	0.9939326261
231	0.9938798042
232	0.9931689911
233	0.9926655786
234	0.9924173093
235	0.9918419561
236	0.9917851121
237	0.9914089104
238	0.990886082
239	0.9907376925
240	0.9902659379
241	0.9902402791
242	0.9897553224
243	0.9895847386
244	0.9889567713
245	0.988141467
246	0.9876885764
247	0.9873498037
248	0.9869984508
249	0.9869117518
250	0.9867311143
251	0.9864957152
252	0.9864667207
253	0.9861870994
254	0.9861461766
255	0.9859179589
256	0.9857173479
257	0.9852180329
258	0.9846600956
259	0.9845263404
260	0.9841019222
261	0.9838060712
262	0.9834506234
263	0.9830256135
264	0.9826538585
265	0.9823218008
266	0.9822805943
267	0.9820923104
268	0.9809205971
269	0.9800496478
270	0.979516213
271	0.9793136409
272	0.9788756592
273	0.978492611
274	0.9780410491
275	0.9778777691
276	0.9774804612
277	0.9770669707
278	0.9765792742
279	0.9764555963
280	0.9759196489
281	0.975633685
282	0.9756261946
283	0.9755860945
284	0.9753277258
285	0.9742731183
286	0.9740002104
287	0.9739812776
288	0.973959225
289	0.9731505001
290	0.9731445831
291	0.9728009163
292	0.9727870622
293	0.9722695786
294	0.9720349438
295	0.9720179247
296	0.971985612
297	0.9714868496
298	0.9708709021
299	0.9704335522
300	0.9700954588
301	0.9699493975
302	0.9699354918
303	0.9695309681
304	0.9694931361
305	0.9687360261
306	0.9686033951
307	0.9680336462
308	0.9680207329
309	0.9675680336
310	0.9675418856
311	0.9675260926
312	0.9671356722
313	0.966633969
314	0.9665195718
315	0.9660646545
316	0.9652202604
317	0.9646400206
318	0.9645956615
319	0.9645409911
320	0.9638762893
321	0.9632368499
322	0.9632021164
323	0.963200727
324	0.9626234613
325	0.9621514187
326	0.9614538327
327	0.9611715516
328	0.9608213343
329	0.9606995338
330	0.959959225
331	0.9592571721
332	0.9587688297
333	0.95876286
334	0.9587379388
335	0.9584202159
336	0.9579724816
337	0.9575638371
338	0.9572349523
339	0.9568124329
340	0.9561132612
341	0.9557340757
342	0.9557082325
343	0.9556988612
344	0.9553444863
345	0.9549570942
346	0.9549297212
347	0.9546032837
348	0.9539748852
349	0.953334117
350	0.9530904834
351	0.9526221477
352	0.9521305136
353	0.9521271772
354	0.9517369079
355	0.9514763649
356	0.9509113113
357	0.9507467793
358	0.9505935069
359	0.9505688249
360	0.9503294404
361	0.95003633
362	0.9497856134
363	0.9497632401
364	0.9492608804
365	0.9489808218
366	0.9489619318
367	0.9484577773
368	0.9478701241
369	0.9474332444
370	0.9471855904
371	0.9467334912
372	0.9461640332
373	0.9460567772
374	0.9452836549
375	0.9449560909
376	0.9446206421
377	0.9443282264
378	0.9438719789
379	0.9436243435
380	0.9436179557
381	0.9435203903
382	0.9429201224
383	0.9425487648
384	0.9417828214
385	0.9415019674
386	0.9414821111
387	0.9409262229
388	0.9405731822
389	0.93977949
390	0.9391692507
391	0.9389770743
392	0.938551128
393	0.9380965211
394	0.9377829569
395	0.9376697776
396	0.9370274991
397	0.9369819679
398	0.9365783845
399	0.9359949118
400	0.9352248058
401	0.935012134
402	0.9347060366
403	0.934624117
404	0.9344834627
405	0.9338313427
406	0.9337744692
407	0.9333587041
408	0.9328381581
409	0.9324738222
410	0.9324009591
411	0.9320719901
412	0.9317350216
413	0.9314027881
414	0.9310921967
415	0.9307653859
416	0.9304599979
417	0.9298779739
418	0.9293883757
419	0.9288684785
420	0.9284415008
421	0.9277424314
422	0.9275986899
423	0.9275131864
424	0.9269010824
425	0.9268107908
426	0.9265321929
427	0.9263710421
428	0.9260117411
429	0.9258620771
430	0.9254102364
431	0.9249618978
432	0.9248751742
433	0.9243472224
434	0.9242240994
435	0.9239101239
436	0.9238600246
437	0.9235409574
438	0.9235148885
439	0.9234736256
440	0.923386749
441	0.9229413395
442	0.9224708935
443	0.9223348461
444	0.9222941494
445	0.9221397513
446	0.9221159924
447	0.922072291
448	0.9217579441
449	0.9216594208
450	0.9215050019
451	0.9207970485
452	0.9201343878
453	0.9197712997
454	0.9194663171
455	0.9192680292
456	0.9187306861
457	0.9180357728
458	0.9178142955
459	0.9172873318
460	0.9172683323
461	0.9167822514
462	0.9166837958
463	0.9161285242
464	0.9158563312
465	0.9156359901
466	0.9154375066
467	0.9153435673
468	0.9149555725
469	0.9146176868
470	0.9142969532
471	0.9142706886
472	0.9138877361
473	0.9132477815
474	0.9132032642
475	0.9131946282
476	0.9128624496
477	0.91238242
478	0.9117793043
479	0.9108874344
480	0.9106334323
481	0.9101784077
482	0.9101226352
483	0.9101135443
484	0.9100920971
485	0.9097672861
486	0.9094618083
487	0.9084996476
488	0.9084781882
489	0.9084209884
490	0.9080990579
491	0.9072587135
492	0.9070650389
493	0.9070468132
494	0.906880994
495	0.9064029378
496	0.9059454767
497	0.9056437919
498	0.9052472773
499	0.9048253483
500	0.9045929862
501	0.9045389146
502	0.9040962426
503	0.9040587458
504	0.9039614056
505	0.9036873016
506	0.9035710563
507	0.903347182
508	0.9033329632
509	0.9033181499
510	0.902965877
511	0.9029241115
512	0.9027032624
513	0.9026281318
514	0.9021317316
515	0.9021164032
516	0.9017606099
517	0.901116071
518	0.9006456772
519	0.8998778611
520	0.8994443041
521	0.8989770089
522	0.8985111376
523	0.8985020347
524	0.8982458432
525	0.8981026519
526	0.898041162
527	0.8980240991
528	0.8978488749
529	0.8975370803
530	0.8975304154
531	0.8974849089
532	0.8972357356
533	0.8969803375
534	0.896252904
535	0.8959586765
536	0.8954085129
537	0.894685148
538	0.894431049
539	0.8940391138
540	0.8937979755
541	0.8932065045
542	0.892782051
543	0.8926945262
544	0.89254986
545	0.8921018805
546	0.8920941849
547	0.8917957738
548	0.8913585576
549	0.8909169726
550	0.8904932072
551	0.8902463158
552	0.8897571009
553	0.8894066375
554	0.8892179486
555	0.8889196147
556	0.8888855891
557	0.888878463
558	0.8884249367
559	0.8880442965
560	0.8872769859
561	0.8867403111
562	0.8862350177
563	0.8858920186
564	0.8854042481
565	0.884664757
566	0.8843269628
567	0.8841129413
568	0.8836827826
569	0.8833163916
570	0.8832196884
571	0.8828357117
572	0.88265052
573	0.8822712807
574	0.8817159762
575	0.8816977813
576	0.8812513238
577	0.8810671833
578	0.8808772985
579	0.8804037184
580	0.8800153817
581	0.8798414523
582	0.8796396398
583	0.8796212072
584	0.879264848
585	0.8791524253
586	0.8788454506
587	0.878571858
588	0.8784558428
589	0.8782099052
590	0.8782024582
591	0.8775559763
592	0.8773706413
593	0.8771547519
594	0.8762892611
595	0.8759530824
596	0.8758946377
597	0.8754488114
598	0.8747699436
599	0.8744305908
600	0.8740035772
601	0.8738099154
602	0.873795446
603	0.8734759076
604	0.8731937287
605	0.8726257773
606	0.8726122181
607	0.8724332042
608	0.8722450715
609	0.8718027857
610	0.8717808313
611	0.8715119083
612	0.8714265237
613	0.8714166681
614	0.8709100392
615	0.8706969694
616	0.8706129835
617	0.8705204015
618	0.8702131639
619	0.8696827927
620	0.8695560388
621	0.8695467273
622	0.8695377275
623	0.868700654
624	0.868488688
625	0.8684824514
626	0.8681927936
627	0.8681776453
628	0.8678957845
629	0.8676459584
630	0.8673335849
631	0.8670798736
632	0.867045804
633	0.8667657917
634	0.8664933405
635	0.8662006564
636	0.8657818814
637	0.8657690195
638	0.8654494149
639	0.8651334822
640	0.86480477
641	0.864354955
642	0.8643122694
643	0.8640821531
644	0.8636960001
645	0.8636507123
646	0.8633641102
647	0.8629919601
648	0.8628160111
649	0.8627020557
650	0.8620157758
651	0.8612073321
652	0.8608860453
653	0.8605565863
654	0.8602438844
655	0.8600550247
656	0.8599480903
657	0.8597495254
658	0.8591917161
659	0.8590390552
660	0.8587840704
661	0.858516638
662	0.858391928
663	0.8583641062
664	0.8579873495
665	0.8579535757
666	0.8574686982
667	0.8572491867
668	0.8572285316
669	0.8567971441
670	0.8560412243
671	0.855606651
672	0.8554027434
673	0.8551177406
674	0.8549556254
675	0.8546333429
676	0.8545701799
677	0.8543208796
678	0.8541809614
679	0.853724787
680	0.8536847075
681	0.8533100073
682	0.8530573266
683	0.8528933243
684	0.8525841991
685	0.8524210946
686	0.8521640632
687	0.8518267018
688	0.851674544
689	0.8515011955
690	0.8513594416
691	0.8509204501
692	0.8507675621
693	0.8506136632
694	0.8500411882
695	0.8492888579
696	0.8490078194
697	0.8488971557
698	0.8488517759
699	0.8485879797
